id,optimum_cost,true_cost
1,994.0,1121.6
2,1296.4,1766.4
3,178.4,189.2
4,935.2,1034.4
5,1915.6,2177.2
6,1253.2,1573.2
7,665.2,1118.0
8,1106.0,1312.0
9,1303.6,1312.0
10,1869.2,3301.6
11,1041.6,1935.6
12,1993.2,2492.4
13,3451.6,3534.0
14,2897.6,3229.6
15,938.4,1124.4
16,1893.2,2296.8
17,1947.6,267.6
18,1417.6,2418.8
19,1755.6,254.4
20,1312.0,1344.8
21,581.2,827.2
22,2764.8,3201.6
23,938.8,1960.8
24,707.2,1184.8
25,1661.6,2502.4
26,2080.8,2292.8
27,1079.2,2277.2
28,1299.6,1352.0
29,2370.0,3373.2
30,1707.2,2572.0
31,1782.0,1796.8
32,2330.0,3119.2
